participant;task_id;group;TTU;DOU;structural_aspects;video_length_in_s;timestamp_where_participant_realizes;TTU_second_coder;DOU_second_coder;timestamp_where_participant_realizes_second_coder
p15;8;Static sketch construction;34;0.8571428571428571;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;251.0;27.0;1.0;244.0
p02;8;Static sketch construction;58;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;435.0;48.0;0.8571428571428571;425.0
p03;8;Dynamic sketch construction;39;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;513.0;39.0;1.0;513.0
p05;8;Dynamic sketch construction;27;0.8571428571428571;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;367.0;27.0;1.0;367.0
p04;8;Dynamic sketch construction;8;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;332.0;23.0;1.0;333.0
p20;8;Dynamic sketch construction;7;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;488.0;20.0;1.0;489.0
p07;8;Dynamic sketch construction;30;0.8571428571428571;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;377.0;32.0;1.0;379.0
p38;8;Dynamic sketch construction;49;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;342.0;49.0;1.0;342.0
p06;8;Dynamic sketch construction;70;1.0;['COMP', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];14;508.0;71.0;1.0;510.0
p01;9;Formula construction;62;0.2857142857142857;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;672.0;57.0;0.9285714285714286;667.0
p31;9;Formula construction;61;0.2857142857142857;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;659.0;60.0;0.5;658.0
p34;9;Formula construction;83;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;401.0;85.0;1.0;401.0
p33;9;Formula construction;63;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;241.0;61.0;1.0;239.0
p26;9;Formula construction;31;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;373.0;38.0;1.0;380.0
p21;9;Formula construction;46;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;522.0;46.0;1.0;521.0
p27;9;Formula construction;39;0.2857142857142857;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;382.0;33.0;0.7857142857142857;377.0
p11;9;Static sketch construction;21;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;206.0;28.0;0.9285714285714286;213.0
p30;9;Static sketch construction;121;0.7142857142857143;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;433.0;115.0;0.42857142857142855;428.0
p28;9;Static sketch construction;43;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;383.0;18.0;0.7857142857142857;358.0
p09;9;Static sketch construction;21;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;557.0;16.0;0.7142857142857143;552.0
p14;9;Static sketch construction;51;0.5714285714285714;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;318.0;17.0;0.7142857142857143;285.0
p15;9;Static sketch construction;64;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;316.0;56.0;1.0;308.0
p02;9;Static sketch construction;40;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;478.0;24.0;0.7142857142857143;463.0
p03;9;Dynamic sketch construction;45;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;564.0;46.0;1.0;565.0
p05;9;Dynamic sketch construction;37;0.5714285714285714;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;411.0;35.0;1.0;409.0
p04;9;Dynamic sketch construction;54;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;408.0;54.0;1.0;408.0
p20;9;Dynamic sketch construction;34;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;575.0;36.0;1.0;578.0
p07;9;Dynamic sketch construction;58;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;453.0;58.0;1.0;453.0
p38;9;Dynamic sketch construction;66;0.8571428571428571;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;419.0;65.0;0.8571428571428571;419.0
p06;9;Dynamic sketch construction;62;1.0;['COMP', 'CELL', 'BATCH', 'BACK', 'ON'];30;576.0;76.0;1.0;591.0
p01;10;Formula construction;76;0.5;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;755.0;71.0;0.5;750.0
p31;10;Formula construction;165;0.625;['COND', 'CELL', 'LIT', 'VAL', 'BACK', 'ON'];20;830.0;158.0;0.625;820.0
